step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
29097984,10.3773,74.57,4.48,8.82,4.48
29229056,9.2664,73.1,5.51,7.46,5.67
29360128,9.6129,71.54,5.18,10.65,5.33
29491200,11.336,74.74,3.69,9.31,4.43
29622272,10.8892,73.51,4.9,10.41,4.44
29753344,12.2981,75.38,5.47,9.06,3.59
29884416,12.9316,77.54,5.49,9.21,3.88
30015488,10.9909,71.81,5.51,12.13,6.93
30146560,10.9061,72.08,5.01,11.23,5.92
30277632,10.8567,72.73,5.96,9.84,6.26
30408704,11.3285,72.74,4.52,13.71,4.36
30539776,11.4625,72.67,5.8,11.3,6.56
30670848,12.1594,74.44,5.4,11.43,5.87
30801920,11.8153,71.99,4.89,13.03,7.49
30932992,12.2244,74.39,6.69,10.6,6.36
31064064,11.3395,71.21,5.79,12.95,7.67
31195136,11.8919,72.27,4.28,12.2,7.92
31326208,11.5104,72.83,6.79,12.64,6.16
31457280,12.4874,74.07,5.51,12.97,4.38
31588352,13.6162,76.06,5.21,10.59,5.37
31719424,12.6246,75.38,6.7,10.22,4.86
31850496,13.1593,72.45,5.34,14.36,5.34
31981568,13.8762,73.97,4.83,13.97,5.86
32112640,11.0756,68.21,6.25,16.43,6.79
32243712,13.8793,73.38,5.73,14.42,4.62
32374784,10.9949,69.41,6.26,14.67,8.41
32505856,11.3882,68.41,5.42,13.64,10.84
32636928,15.2609,77.47,4.21,11.54,5.49
32768000,12.7557,72.75,5.81,13.63,7.01
32899072,11.6394,69.66,6.3,15.46,7.25
33030144,11.7159,70.58,5.96,12.52,9.94
33161216,13.4093,73.57,5.72,10.85,8.28
33292288,14.2326,74.95,5.69,11.95,6.64
33423360,11.3543,69.32,5.73,14.05,9.61
33554432,14.7616,75.64,4.4,12.45,6.23
33685504,12.6702,73.41,6.86,12.88,5.02
33816576,12.6077,71.25,5.29,16.58,5.47
33947648,12.8022,71.94,4.8,14.39,7.28
34078720,15.0165,75.7,4.3,12.52,6.17
34209792,15.058,75.64,3.82,14.73,4.91
34340864,15.736,76.29,3.63,13.96,5.54
34471936,13.8981,74.91,5.56,12.72,5.56
34603008,13.0538,72.44,5.55,13.52,6.76
34734080,15.4691,76.71,4.72,13.52,4.56
34865152,13.5588,73.01,5.53,15.28,3.74
34996224,13.9597,74.52,4.71,14.83,4.36
35127296,15.0736,76.34,6.09,13.08,3.41
35258368,13.0278,72.76,6.76,14.63,4.57
35389440,14.3548,74.74,5.23,14.46,4.36
35520512,14.2591,72.12,4.21,17.5,5.35
35651584,14.2131,73.01,3.64,16.23,5.13
35782656,15.6842,75.51,3.72,15.37,4.56
35913728,14.8205,76.95,6.8,11.77,4.15
36044800,12.6395,68.86,4.8,17.62,6.94
36175872,14.6079,75.13,5.21,14.12,4.2
36306944,14.1355,73.65,5.05,13.72,6.32
36438016,15.3077,73.98,4.42,14.46,6.29
36569088,13.8694,74.15,5.82,14.22,5.01
36700160,13.5729,73.87,4.86,14.41,5.23
36831232,13.692,73.17,4.72,13.5,6.5
36962304,16.186,76.43,3.76,14.24,4.42
37093376,14.6451,74.45,4.43,15.67,3.07
37224448,14.475,73.54,5.08,15.08,4.77
37355520,14.5665,74.21,5.66,14.31,4.4
37486592,15.5816,76.86,4.91,13.0,3.96
37617664,14.5572,73.44,5.57,15.74,3.93
37748736,14.5317,73.65,5.4,15.71,4.29
37879808,15.0412,75.04,5.03,14.73,4.16
38010880,14.7942,74.79,5.14,13.6,5.31
38141952,14.9363,73.97,4.45,13.51,6.59
38273024,14.3509,76.01,6.81,13.13,3.57
38404096,14.2495,72.68,5.3,15.73,5.3
38535168,14.631,74.41,5.35,14.88,3.85
38666240,15.205,74.76,3.88,14.4,5.66
38797312,13.826,74.14,5.73,12.6,6.22
38928384,14.8454,74.72,4.58,14.22,5.69
39059456,14.7723,73.94,4.91,15.74,3.55
39190528,13.6272,73.5,5.68,14.35,5.36
39321600,16.363,77.83,4.56,12.42,4.25
39452672,14.5418,74.34,5.44,14.93,3.89
39583744,15.6509,76.9,5.37,13.11,3.73
39714816,14.6242,74.62,5.58,15.06,3.35
39845888,14.3019,73.18,5.58,16.9,3.41
39976960,14.4257,73.87,5.59,16.01,3.32
40108032,14.3705,75.11,6.64,13.73,3.32
40239104,14.1454,72.91,5.69,14.38,6.02
40370176,14.8769,76.14,5.79,12.81,4.21
40501248,14.0796,72.83,5.43,16.67,4.17
40632320,13.528,72.37,5.97,14.44,6.12
40763392,14.1252,73.57,5.56,13.6,6.34
40894464,15.769,74.34,3.25,17.77,4.02
41025536,16.4073,75.56,3.3,18.29,1.65
41156608,16.1517,76.64,4.87,14.12,3.7
41287680,17.0621,77.85,4.75,13.29,3.64
41418752,15.1956,76.76,6.69,13.03,2.99
41549824,14.1915,74.05,5.95,14.05,5.23
41680896,14.2349,70.87,4.26,17.94,5.68
41811968,16.253,74.57,3.95,16.32,4.3
41943040,13.8698,72.88,6.04,14.68,5.53
42074112,15.4999,72.41,3.34,17.89,5.85
42205184,15.2012,73.3,4.76,17.35,3.57
42336256,16.3517,75.59,4.01,14.75,4.74
42467328,14.7464,74.04,4.7,14.81,5.05
42598400,14.2307,72.04,5.1,16.45,5.92
42729472,13.0814,71.13,6.12,16.06,5.16
42860544,14.2182,72.98,5.16,15.32,6.2
42991616,14.529,74.52,5.81,13.56,5.37
43122688,14.9843,71.67,4.38,19.39,4.05
43253760,14.3605,73.02,6.0,15.34,5.11
43384832,14.5768,73.13,5.61,17.01,3.4
43515904,15.0552,73.38,4.14,16.37,5.58
43646976,14.7483,73.91,4.55,15.41,5.43
43778048,13.7668,71.65,5.5,15.81,6.01
